0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:25 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:28 +0530] "POST /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:28 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:28 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:32 +0530] "GET /Cab_It/delete/employee?id=EMP_00004 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:32 +0530] "GET /Cab_It/employee/delete.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:35 +0530] "POST /Cab_It/delete/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:35 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:35 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:37 +0530] "POST /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:37 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:37 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:38 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:38 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:38 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:40 +0530] "GET /Cab_It/register/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:40 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:40 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:42 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:42 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:42 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:43 +0530] "GET /Cab_It/register/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:34:43 +0530] "GET /Cab_It/employee/create.jsp HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:25 +0530] "POST /Cab_It/validation/employee/create-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:25 +0530] "GET /Cab_It/employee/create.jsp HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:37 +0530] "POST /Cab_It/validation/employee/create-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:37 +0530] "GET /Cab_It/employee/create.jsp HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:40 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:40 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:40 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:42 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:42 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:43 +0530] "POST /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:43 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:43 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 8077
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:49 +0530] "GET /Cab_It/delete/employee?id=EMP_00005 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:49 +0530] "GET /Cab_It/employee/delete.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:50 +0530] "POST /Cab_It/delete/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:50 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:50 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:52 +0530] "POST /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:52 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:52 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:53 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:53 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:53 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:54 +0530] "GET /Cab_It/register/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:35:54 +0530] "GET /Cab_It/employee/create.jsp HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:11 +0530] "POST /Cab_It/validation/employee/create-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:11 +0530] "GET /Cab_It/register/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:11 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:11 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:14 +0530] "POST /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:14 +0530] "GET /Cab_It/fetch/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:14 +0530] "GET /Cab_It/employee/search.jsp HTTP/1.1" 200 8073
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:24 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:24 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:24 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:28 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:29 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:31 +0530] "POST /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:31 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:31 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 12528
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:35 +0530] "GET /Cab_It/update/vehicle?id=VEH_00002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:35 +0530] "GET /Cab_It/vehicle/update.jsp HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:48 +0530] "POST /Cab_It/validation/vehicle/update-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:49 +0530] "GET /Cab_It/update/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:49 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:49 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:50 +0530] "POST /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:50 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:51 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 10099
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:54 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:54 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:54 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:56 +0530] "GET /Cab_It/register/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:36:56 +0530] "GET /Cab_It/vehicle/create.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:17 +0530] "POST /Cab_It/validation/vehicle/create-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:17 +0530] "GET /Cab_It/register/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:17 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:17 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:19 +0530] "POST /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:19 +0530] "GET /Cab_It/fetch/vehicle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:19 +0530] "GET /Cab_It/vehicle/search.jsp HTTP/1.1" 200 19930
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:24 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:24 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:24 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:27 +0530] "GET /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:27 +0530] "GET /Cab_It/location/search.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:30 +0530] "POST /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:30 +0530] "GET /Cab_It/fetch/location HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:30 +0530] "GET /Cab_It/location/search.jsp HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:33 +0530] "GET /Cab_It/update/location?id=LOC_00003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:33 +0530] "GET /Cab_It/location/update.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [01/May/2021:00:37:45 +0530] "GET /Cab_It/validation/location/update-validation.jsp?district=Colombo&zone=Minuwangoda+junction HTTP/1.1" 302 -
