127.0.0.1 - - [13/May/2021:03:48:18 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [13/May/2021:03:48:58 +0530] "GET /Cab_It/ HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:02 +0530] "GET /Cab_It/style-1.css HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:40 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:41 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:41 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:50 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:50 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:49:50 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:00 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:00 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:00 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:01 +0530] "GET /Cab_It/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:02 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:50:02 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:19 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:20 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:20 +0530] "GET /Cab_It/style-1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:41 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:41 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:03:52:41 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 1788
